product_id,product_name,product_detail,company,sector,weight_kg,carbon_footprint,country,year
10056-1-2015,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)",Cereal,Kellogg Company,Food & Beverage,0.7485,2.0,USA,2015
10222-1-2013,Office Chair,[no detail provided],KNOLL INC,Comm. equipm. & capital goods,20.68,72.54,USA,2013
10261-1-2017,Multifunction Printers,bizhub C458,"Konica Minolta, Inc.","Computer, IT & telecom",110.0,1488.0,Japan,2017
10261-2-2017,Multifunction Printers,bizhub C558,"Konica Minolta, Inc.","Computer, IT & telecom",110.0,1818.0,Japan,2017
10261-3-2017,Multifunction Printers,bizhub C658,"Konica Minolta, Inc.","Computer, IT & telecom",110.0,2274.0,Japan,2017
10324-1-2016,KURALON  fiber,Raw material for tire reinforcing materials,"Kuraray Co., Ltd.",Chemicals,1500.0,10000.0,Japan,2016
10418-1-2013,Portland Cement,[no detail provided],Lafarge S.A.,Construction & commercial materials,1000.0,1102.0,France,2013
10661-10-2016,Regular Straight 505® Jeans – Steel (Water<Less™),[no detail provided],Levi Strauss & Co.,"Home durables, textiles, & equipment",0.7665,15.0,USA,2016
10661-1-2016,501® Original Jeans – Dark Stonewash,[no detail provided],Levi Strauss & Co.,"Home durables, textiles, & equipment",0.997,16.0,USA,2016
10661-2-2016,Slim Straight 514™ Jeans – Indigo Wash,[no detail provided],Levi Strauss & Co.,"Home durables, textiles, & equipment",0.88,8.6,USA,2016
10661-3-2016,Slim Straight 514™ Jeans – Rigid Tank,[no detail provided],Levi Strauss & Co.,"Home durables, textiles, & equipment",0.88,7.7,USA,2016
10666-10-2014,MS315DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",16.03449,1616.172,USA,2014
10666-11-2014,MS410DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",15.898413,1523.19,USA,2014
10666-1-2014,CX310DN - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",31.365912,2358.38,USA,2014
10666-12-2014,MS415DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",16.03449,1524.56,USA,2014
10666-13-2014,MS510DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",16.66952,1617.69,USA,2014
10666-14-2014,MS610DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.","Computer, IT & telecom",18.37049,1978.08,USA,2014
